,Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20
10,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02033760423022168,0.02033760423022168,0.03050640634533252,0.04067520846044336,0.04067520846044336,0.06101281269066504,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.08135041692088672,0.08135041692088672,0.08135041692088672,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.11185682326621924,0.11185682326621924,0.11185682326621924,0.11185682326621924
11,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,6.291991176111574e-05,0.00012583982352223149,0.00018875973528334724,0.00018875973528334724,0.00018875973528334724,0.00018875973528334724,0.00031459955880557873,0.00031459955880557873,0.00031459955880557873,0.00044043938232781024,0.00044043938232781024,0.00044043938232781024,0.00044043938232781024,0.0005033592940889259,0.000755038941133389,0.000755038941133389
12,South Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.933572633965622e-05,8.933572633965622e-05,0.00017867145267931245,0.00017867145267931245,0.00026800717901896866
13,Uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1862224262696485e-05,2.1862224262696485e-05,0.0001967600183642684,0.0001967600183642684,0.0003060711396777508,0.0003060711396777508,0.0005028311580420192,0.0006558667278808946,0.000721453400668984,0.000721453400668984,0.0009619378675586454,0.0009619378675586454,0.000983800091821342,0.0010493867646094314,0.0010493867646094314,0.0011368356616602174,0.0011368356616602174,0.0011368356616602174,0.0011586978859229138,0.0011586978859229138
14,Tanzania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6740825734533025e-05,1.6740825734533025e-05,5.022247720359908e-05,0.00010044495440719816,0.00010044495440719816,0.00010044495440719816,0.00020088990881439632,0.00020088990881439632,0.00020088990881439632,0.00020088990881439632,0.00021763073454892935,0.00021763073454892935,0.00023437156028346235,0.00023437156028346235,0.00031807568895612747,0.00031807568895612747,0.0003348165146906605,0.0003348165146906605,0.0003348165146906605,0.0003348165146906605,0.0003682981661597266,0.00040177981762879264,0.00040177981762879264,0.00041852064336332564,0.00041852064336332564
15,Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001087904891002809,0.0001087904891002809,0.0001087904891002809,0.0001087904891002809,0.00016318573365042136,0.00016318573365042136,0.00016318573365042136,0.0006527429346016854,0.0008703239128022472,0.0011966953801030899,0.0015230668474039326,0.001577462091954073,0.0019038335592549158,0.0019038335592549158,0.001958228803805056,0.0021214145374554775,0.0021214145374554775,0.0021214145374554775,0.0021214145374554775,0.0021214145374554775,0.0021214145374554775,0.0021214145374554775,0.0021214145374554775
16,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72814848754586e-05,0.0002018444546263758,0.0002018444546263758,0.0002018444546263758,0.0002018444546263758,0.0002018444546263758,0.0002018444546263758,0.000336407424377293,0.00047097039412821024,0.00047097039412821024,0.00047097039412821024,0.0005382518790036688,0.0005382518790036688,0.0006055333638791275,0.0006055333638791275,0.0006055333638791275,0.0006055333638791275,0.000672814848754586,0.0007400963336300447,0.0007400963336300447,0.0007400963336300447
17,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.042633070317989e-05,6.085266140635978e-05,6.085266140635978e-05,9.127899210953967e-05,9.127899210953967e-05,9.127899210953967e-05,0.00012170532281271956,0.00012170532281271956,0.00015213165351589945,0.00021298431492225922,0.00021298431492225922,0.00021298431492225922,0.00024341064562543913,0.00024341064562543913,0.00024341064562543913,0.0003042633070317989,0.00042596862984451843,0.00048682129125087825,0.0005172476219540581,0.0005781002833604179,0.0005781002833604179
18,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.767065749612181e-05,3.767065749612181e-05,7.534131499224362e-05,7.534131499224362e-05,7.534131499224362e-05,7.534131499224362e-05,7.534131499224362e-05,7.534131499224362e-05,7.534131499224362e-05,7.534131499224362e-05,0.00015068262998448723,0.00037670657496121805,0.00037670657496121805,0.0004897185474495835,0.0007534131499224361,0.0010171077523952888,0.0015068262998448722,0.002109556819782821,0.002486263394744039,0.0028252993122091356,0.0028252993122091356,0.0034280298321470843,0.0034280298321470843,0.005236221391960931,0.005236221391960931,0.007270436896751508,0.00877726319659638,0.011527221193813272,0.019174364665525998,0.020907214910347603,0.024485927372479174,0.02478729263244815,0.02478729263244815,0.027499579972168918,0.027499579972168918
19,Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020704962565427682,0.00020704962565427682,0.00020704962565427682,0.00020704962565427682,0.00020704962565427682,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0006211488769628304,0.0016563970052342145,0.0016563970052342145,0.0016563970052342145,0.0016563970052342145,0.0016563970052342145,0.0016563970052342145,0.0016563970052342145
