CountryCode,Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,Taiwan*,0.041987204,0.041987204,0.125961612,0.125961612,0.167948816,0.20993602,0.335897632,0.335897632,0.377884836,0.41987204,0.41987204,0.41987204,0.41987204,0.461859244,0.461859244,0.671795264,0.671795264,0.713782468,0.755769672,0.755769672,0.755769672,0.755769672,0.755769672,0.755769672,0.755769672,0.83974408,0.923718488,0.923718488,0.965705692,1.007692896,1.091667303,1.091667303,1.175641711,1.259616119,1.301603323,1.343590527,1.343590527,1.427564935,1.637500955,1.679488159,1.721475363,1.763462567,1.763462567,1.847436975,1.889424179,1.889424179,1.889424179,1.889424179,1.973398587,2.015385791,2.057372995,2.099360199,2.225321811,2.477245035,2.813142667,3.233014706,4.198720398,4.53461803,5.668272537,6.424042209,7.095837473,8.187504776,9.027248856,9.866992935,10.5807754,11.21058346,11.88237873,12.51218679,12.84808442,13.51987968,13.81379011,14.23366215,14.61154698,14.90545741,15.24135504,15.66122708,15.7871887,15.91315031,15.95513751,16.03911192,16.16507353,16.29103514,16.50097116,16.50097116
1,"Korea, South",0.038791535,0.038791535,0.07758307,0.07758307,0.116374605,0.15516614,0.15516614,0.15516614,0.15516614,0.426706886,0.465498421,0.581873026,0.581873026,0.620664561,0.737039166,0.892205307,0.930996842,0.930996842,0.969788377,1.047371447,1.086162982,1.086162982,1.086162982,1.086162982,1.086162982,1.124954517,1.163746052,1.202537587,1.202537587,4.034319647,7.913473154,16.79673468,23.35250411,32.31334871,37.89932976,48.91612572,68.50585093,90.65581745,122.1933355,144.925175,168.1613045,201.1729009,218.0472186,236.1628655,255.7525907,273.1311984,283.7212875,290.0830992,291.440803,300.8283544,305.2505894,309.5176583,313.6683525,316.6165092,319.4870828,322.7455718,326.3531845,332.2494978,335.6243614,341.326717,347.6109457,347.6109457,350.5591024,354.4382559,358.4725755,362.0026052,367.6661694,371.7392805,374.7650203,379.6139622,383.5319072,386.9843538,390.3204258,393.9668301,397.1089445,398.9321466,400.7553488,402.8113001,404.32417,405.3715414,406.5352875,407.7766166,408.746405,409.7937764
2,Japan,0.015813219,0.015813219,0.015813219,0.015813219,0.031626439,0.031626439,0.055346268,0.055346268,0.086972706,0.118599145,0.158132193,0.158132193,0.158132193,0.173945412,0.173945412,0.173945412,0.197665241,0.197665241,0.205571851,0.205571851,0.205571851,0.22138507,0.22138507,0.22929168,0.339984215,0.46648997,0.521836237,0.585089115,0.664155211,0.743221308,0.830194014,0.964606378,1.16227162,1.257150935,1.344123642,1.494349225,1.692014467,1.802707002,1.905492927,2.024092072,2.166411046,2.316636629,2.617087796,2.846379476,3.320776056,3.644947052,3.969118048,4.040277535,4.593740211,5.052323571,5.052323571,5.542533369,6.111809265,6.633645502,6.633645502,6.942003279,7.028975985,7.305707323,7.6140651,7.961955924,8.705177232,8.918655693,9.432585321,10.33393882,10.96646759,11.60690298,13.38589015,14.75373362,14.75373362,15.44160866,17.22059583,19.72699109,20.69159747,24.81884771,24.81884771,28.89075169,30.88321732,33.65843731,36.90014727,43.7235514,47.47919099,53.35380196,58.27171317,60.44603083
3,Italy,0,0,0,0,0,0,0,0,0,0.033078721,0.033078721,0.033078721,0.033078721,0.033078721,0.033078721,0.033078721,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.049618081,0.330787209,1.025440348,2.56360087,3.787513544,5.325674066,7.492330285,10.8332811,14.68695208,18.65639859,28.01767661,33.67413788,41.38147985,51.09008444,63.80885263,76.67647506,97.30105754,121.9777833,151.6990141,167.8579692,206.11351,206.11351,292.0851056,349.9232491,409.2995531,462.7713055,521.0890904,590.6701798,678.6926562,777.6972678,886.1458543,978.1046985,1057.311696,1144.126799,1230.296867,1332.89052,1430.6216,1529.42774,1615.713583,1682.697993,1749.732021,1828.823243,1906.028977,1981.861945,2061.333572,2132.717452,2192.24261,2242.505726,2305.950713,2375.482184,2440.829198,2518.464955,2586.144018,2638.292622,2687.447601
4,Germany,0,0,0,0,0,0.01193546,0.047741841,0.047741841,0.047741841,0.059677301,0.095483682,0.119354602,0.143225522,0.143225522,0.143225522,0.143225522,0.155160983,0.155160983,0.167096443,0.167096443,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.190967363,0.202902823,0.322257425,0.549031169,0.572902089,0.942901355,1.551609825,1.897738171,2.339350198,3.12709057,5.752891813,7.996758329,9.536432694,12.4128786,14.03610119,17.3899655,22.77285805,24.80188628,43.86281621,54.72408498,69.16599182,86.79466652,110.486555,147.1284178,182.8512501,236.8950139,265.1223773,296.8707014,346.7967314,393.7030899,445.4671808,524.4202499,607.1687955,688.6163758,741.1324007,798.303255,857.0615255,929.4381561,1012.055412,1088.024616,1146.902241,1195.014081,1233.816262,1285.007451,1352.239898,1410.544621,1458.167107,1490.834462,1525.996327,1552.469178,1567.830115
5,US,0.003021124,0.003021124,0.006042248,0.006042248,0.015105619,0.015105619,0.015105619,0.015105619,0.015105619,0.021147867,0.024168991,0.024168991,0.033232362,0.033232362,0.033232362,0.033232362,0.033232362,0.033232362,0.033232362,0.033232362,0.036253486,0.036253486,0.03927461,0.03927461,0.03927461,0.03927461,0.03927461,0.03927461,0.03927461,0.03927461,0.045316858,0.045316858,0.045316858,0.154077316,0.154077316,0.172204059,0.175225183,0.181267431,0.205436422,0.223563165,0.296070137,0.356492614,0.450147454,0.655583875,0.791534448,1.214491787,1.564942154,1.761315204,2.897257771,3.870059651,5.024128961,6.583028867,8.238604736,10.57091235,13.99384567,19.39863623,23.51340692,41.53138955,58.22611994,77.34077053,100.5309172,132.4672174,162.3551956,198.7234845,253.278939,307.1183871,366.9608083,425.7035404,488.9114936,568.4909169,644.6232379,736.4351917,832.5794371,933.0831641,1018.336258,1107.746418,1197.038755,1296.21923,1394.058326,1500.09373,1590.30751,1677.669348,1754.121908,1828.363006
